LSOA11CD,average_price,airbnb_density
E01000001,,20.0
E01000002,,15.0
E01000003,,15.0
E01000005,,108.0
E01000006,,5.0
E01000007,,29.0
E01000008,,4.0
E01000009,,15.0
E01000010,,49.0
E01000011,,9.0
E01000012,,13.0
E01000013,,4.0
E01000014,,4.0
E01000015,,23.0
E01000016,,3.0
E01000017,,4.0
E01000018,,4.0
E01000019,,6.0
E01000020,,1.0
E01000021,,6.0
E01000022,,
E01000023,,16.0
E01000024,,1.0
E01000025,,2.0
E01000027,,2.0
E01000028,,2.0
E01000029,,7.0
E01000030,,2.0
E01000031,,9.0
E01000032,,6.0
E01000033,,2.0
E01000034,,5.0
E01000035,,12.0
E01000036,,3.0
E01000037,,2.0
E01000038,,1.0
E01000039,,1.0
E01000040,,1.0
E01000041,,2.0
E01000042,,5.0
E01000043,,3.0
E01000044,,6.0
E01000045,,7.0
E01000046,,1.0
E01000048,,2.0
E01000049,,6.0
E01000050,,7.0
E01000051,,22.0
E01000052,,6.0
E01000053,,2.0
E01000054,,4.0
E01000055,,
E01000056,,5.0
E01000057,,
E01000058,,4.0
E01000059,,2.0
E01000060,,9.0
E01000061,,9.0
E01000062,,15.0
E01000063,,2.0
E01000064,,4.0
E01000065,,4.0
E01000066,,8.0
E01000067,,3.0
E01000068,,5.0
E01000069,,2.0
E01000070,,3.0
E01000071,,9.0
E01000072,,2.0
E01000073,,7.0
E01000074,,6.0
E01000075,,4.0
E01000076,,6.0
E01000077,,
E01000078,,2.0
E01000079,,7.0
E01000080,,2.0
E01000081,,
E01000082,,1.0
E01000083,,2.0
E01000084,,5.0
E01000085,,3.0
E01000086,,4.0
E01000087,,4.0
E01000088,,7.0
E01000089,,5.0
E01000090,,4.0
E01000091,,6.0
E01000092,,48.0
E01000093,,2.0
E01000094,,16.0
E01000095,,23.0
E01000096,,6.0
E01000097,,5.0
E01000098,,4.0
E01000099,,5.0
E01000100,,1.0
E01000101,,3.0
E01000102,,3.0
E01000103,,7.0
E01000104,,4.0
E01000105,,9.0
E01000106,,12.0
E01000107,,6.0
E01000108,,
E01000109,,4.0
E01000110,,6.0
E01000111,,3.0
E01000112,,8.0
E01000113,,3.0
E01000114,,6.0
E01000115,,4.0
E01000116,,6.0
E01000117,,1.0
E01000118,,2.0
E01000119,,14.0
E01000120,,8.0
E01000121,,5.0
E01000122,,2.0
E01000123,,13.0
E01000124,,3.0
E01000125,,10.0
E01000126,,9.0
E01000127,,4.0
E01000128,,4.0
E01000129,,7.0
E01000130,,7.0
E01000131,,16.0
E01000132,,2.0
E01000133,,6.0
E01000134,,2.0
E01000135,,25.0
E01000136,,11.0
E01000137,,6.0
E01000138,,36.0
E01000139,,20.0
E01000140,,25.0
E01000141,,36.0
E01000142,,16.0
E01000143,,22.0
E01000144,,64.0
E01000145,,40.0
E01000146,,71.0
E01000147,,17.0
E01000148,,24.0
E01000150,,11.0
E01000151,,1.0
E01000152,,16.0
E01000153,,8.0
E01000154,,20.0
E01000155,,66.0
E01000156,,19.0
E01000157,,6.0
E01000158,,5.0
E01000159,,7.0
E01000160,,14.0
E01000161,,15.0
E01000162,,6.0
E01000163,,13.0
E01000164,,12.0
E01000165,,7.0
E01000166,,1.0
E01000167,,5.0
E01000168,,6.0
E01000169,,2.0
E01000170,,2.0
E01000171,,5.0
E01000172,,4.0
E01000173,,3.0
E01000174,,6.0
E01000175,,4.0
E01000176,,9.0
E01000177,,8.0
E01000178,,13.0
E01000179,,9.0
E01000180,,6.0
E01000181,,12.0
E01000182,,12.0
E01000183,,3.0
E01000184,,10.0
E01000185,,32.0
E01000186,,3.0
E01000187,,3.0
E01000188,,4.0
E01000189,,7.0
E01000190,,7.0
E01000191,,10.0
E01000192,,6.0
E01000193,,10.0
E01000194,,16.0
E01000195,,1.0
E01000196,,15.0
E01000197,,7.0
E01000198,,15.0
E01000199,,9.0
E01000200,,8.0
E01000201,,5.0
E01000202,,9.0
E01000203,,16.0
E01000204,,18.0
E01000205,,8.0
E01000206,,7.0
E01000207,,3.0
E01000208,,9.0
E01000209,,3.0
E01000210,,8.0
E01000211,,25.0
E01000212,,15.0
E01000213,,
E01000214,,17.0
E01000215,,8.0
E01000216,,29.0
E01000217,,17.0
E01000218,,23.0
E01000219,,20.0
E01000220,,22.0
E01000221,,9.0
E01000222,,22.0
E01000223,,20.0
E01000224,,11.0
E01000225,,11.0
E01000226,,6.0
E01000227,,9.0
E01000228,,4.0
E01000229,,2.0
E01000230,,3.0
E01000231,,8.0
E01000232,,14.0
E01000233,,6.0
E01000234,,13.0
E01000235,,11.0
E01000236,,6.0
E01000237,,26.0
E01000238,,14.0
E01000239,,23.0
E01000240,,22.0
E01000241,,9.0
E01000242,,23.0
E01000243,,22.0
E01000244,,10.0
E01000245,,12.0
E01000246,,5.0
E01000247,,7.0
E01000248,,4.0
E01000249,,3.0
E01000250,,8.0
E01000251,,9.0
E01000252,,5.0
E01000253,,1.0
E01000254,,6.0
E01000255,,9.0
E01000256,,15.0
E01000257,,21.0
E01000258,,12.0
E01000259,,12.0
E01000260,,17.0
E01000261,,2.0
E01000262,,17.0
E01000263,,3.0
E01000264,,10.0
E01000265,,7.0
E01000266,,4.0
E01000267,,3.0
E01000268,,12.0
E01000269,,6.0
E01000270,,3.0
E01000271,,11.0
E01000272,,2.0
E01000273,,6.0
E01000274,,11.0
E01000275,,3.0
E01000276,,7.0
E01000277,,15.0
E01000278,,1.0
E01000279,,5.0
E01000280,,5.0
E01000281,,9.0
E01000282,,12.0
E01000283,,2.0
E01000284,,8.0
E01000285,,2.0
E01000286,,7.0
E01000287,,3.0
E01000288,,5.0
E01000289,,8.0
E01000290,,4.0
E01000291,,4.0
E01000292,,4.0
E01000293,,8.0
E01000294,,5.0
E01000295,,16.0
E01000296,,21.0
E01000297,,5.0
E01000298,,15.0
E01000299,,23.0
E01000300,,4.0
E01000301,,10.0
E01000302,,10.0
E01000303,,5.0
E01000304,,7.0
E01000305,,15.0
E01000306,,22.0
E01000307,,15.0
E01000308,,13.0
E01000309,,14.0
E01000310,,37.0
E01000311,,7.0
E01000312,,13.0
E01000313,,17.0
E01000314,,35.0
E01000315,,5.0
E01000316,,8.0
E01000317,,6.0
E01000318,,9.0
E01000319,,3.0
E01000320,,2.0
E01000321,,13.0
E01000322,,6.0
E01000323,,25.0
E01000324,,9.0
E01000325,,2.0
E01000326,,2.0
E01000327,,2.0
E01000328,,
E01000329,,11.0
E01000330,,5.0
E01000331,,1.0
E01000332,,3.0
E01000333,,7.0
E01000334,,5.0
E01000335,,20.0
E01000336,,5.0
E01000337,,1.0
E01000338,,4.0
E01000339,,1.0
E01000340,,
E01000341,,2.0
E01000342,,1.0
E01000343,,1.0
E01000344,,1.0
E01000345,,
E01000346,,1.0
E01000347,,2.0
E01000348,,2.0
E01000349,,1.0
E01000350,,
E01000351,,3.0
E01000352,,
E01000353,,3.0
E01000354,,
E01000355,,4.0
E01000356,,3.0
E01000357,,3.0
E01000358,,
E01000359,,5.0
E01000360,,3.0
E01000361,,4.0
E01000362,,7.0
E01000363,,1.0
E01000364,,1.0
E01000365,,1.0
E01000366,,2.0
E01000367,,5.0
E01000368,,2.0
E01000369,,1.0
E01000370,,2.0
E01000371,,1.0
E01000372,,3.0
E01000373,,4.0
E01000374,,1.0
E01000375,,2.0
E01000376,,1.0
E01000377,,1.0
E01000378,,13.0
E01000379,,2.0
E01000380,,3.0
E01000381,,
E01000382,,1.0
E01000383,,2.0
E01000384,,
E01000385,,1.0
