Postcode,Avg asking rent (pm),Avg. household income
BR1 1,"1,501","67,100"
BR1 2,"2,000","68,200"
BR1 3,"1,650","62,800"
BR1 4,"1,813","51,600"
BR1 5,,"46,900"
BR2 0,"1,599","67,500"
BR2 6,,"58,900"
BR2 7,,"68,000"
BR2 8,,"56,300"
BR2 9,"1,780","67,200"
BR3 1,"1,710","63,700"
BR3 3,,"64,200"
BR3 4,"1,682","62,700"
BR3 5,"1,657","67,600"
BR3 6,,"67,700"
BR4 0,,"66,000"
BR4 9,,"65,100"
BR5 1,,"68,000"
BR5 2,,"50,300"
BR5 3,,"46,000"
BR5 4,,"52,100"
BR6 0,"1,783","59,100"
BR6 6,,"60,900"
BR6 7,,"53,000"
BR6 8,,"67,800"
BR6 9,"2,222","63,600"
BR7 5,,"70,600"
BR7 6,,"59,500"
BR8 7,,"47,900"
BR8 8,,"55,100"
CR0 0,,"41,100"
CR0 1,"1,593","54,500"
CR0 2,"1,521","45,900"
CR0 3,,"48,300"
CR0 4,"1,946","52,200"
CR0 5,,"62,800"
CR0 6,"1,614","55,200"
CR0 7,,"58,600"
CR0 8,,"57,000"
CR0 9,,"48,600"
CR2 0,"2,025","64,500"
CR2 6,"1,640","58,000"
CR2 7,"1,721","63,100"
CR2 8,,"58,500"
CR2 9,,"61,600"
CR3 0,,"63,900"
CR3 5,"1,654","57,200"
CR3 6,"1,658","62,700"
CR3 7,,"63,300"
CR4 1,,"52,200"
CR4 2,"2,034","58,200"
CR4 3,"2,030","52,500"
CR4 4,,"51,700"
CR5 1,,"59,600"
CR5 2,,"62,000"
CR5 3,,"67,000"
CR6 9,,"56,700"
CR7 6,,"50,600"
CR7 7,"1,479","50,100"
CR7 8,"1,644","53,400"
CR8 1,,"63,000"
CR8 2,"1,628","62,100"
CR8 3,"1,832","66,900"
CR8 4,,"62,600"
CR8 5,"2,479","63,900"
DA1 1,,"56,000"
DA1 2,"1,583","55,900"
DA1 3,,"61,200"
DA1 4,,"50,000"
DA1 5,"1,807","59,800"
DA10 0,,"55,300"
DA11 0,"1,146","47,300"
DA11 7,,"54,100"
DA11 8,,"50,400"
DA11 9,"1,271","52,000"
DA12 1,,"51,500"
DA12 2,,"51,700"
DA12 3,,"52,300"
DA12 4,,"52,800"
DA12 5,,"49,800"
DA13 0,,"57,300"
DA13 9,,"57,300"
DA14 4,,"52,400"
DA14 5,,"47,300"
DA14 6,,"52,300"
DA15 7,,"57,700"
DA15 8,,"61,000"
DA15 9,,"57,000"
DA16 1,,"57,600"
DA16 2,,"58,500"
DA16 3,"1,582","52,500"
DA17 5,,"48,900"
DA17 6,,"49,200"
DA2 6,"1,920","56,000"
DA2 7,,"53,300"
DA2 8,,"50,500"
DA3 7,,"52,200"
DA3 8,,"48,700"
DA4 0,,"51,600"
DA4 9,,"51,100"
DA5 1,,"60,200"
DA5 2,,"58,400"
DA5 3,,"61,800"
DA6 7,,"57,700"
DA6 8,,"59,600"
DA7 4,,"57,400"
DA7 5,,"56,900"
DA7 6,,"54,500"
DA8 1,"1,618","48,200"
DA8 2,,"44,700"
DA8 3,,"48,200"
DA9 9,"1,498","60,400"
E1 0,,"53,100"
E1 1,"2,235","60,400"
E1 2,"2,303","53,500"
E1 3,,"48,600"
E1 4,"2,270","50,500"
E1 5,,"56,100"
E1 6,"2,480","60,500"
E1 7,,"70,400"
E1 8,"2,487","70,000"
E10 5,"1,850","53,200"
E10 6,"1,795","57,300"
E10 7,,"52,900"
E11 1,"1,724","62,700"
E11 2,"1,905","71,200"
E11 3,"1,730","58,000"
E11 4,"1,748","52,800"
E12 5,,"50,100"
E12 6,"1,777","46,800"
E13 0,"1,851","47,900"
E13 8,"1,772","47,300"
E13 9,"2,000","48,500"
E14 0,"2,540","53,300"
E14 2,,"76,800"
E14 3,"2,436","71,800"
E14 4,,"56,100"
E14 6,"2,087","47,800"
E14 7,"1,970","58,500"
E14 8,"2,453","59,900"
E14 9,"2,507","67,700"
E15 1,"2,222","56,600"
E15 2,"2,154","61,600"
E15 3,,"47,400"
E15 4,"1,978","53,000"
E16 1,"2,015","58,200"
E16 2,"2,245","59,400"
E16 3,"2,098","51,100"
E16 4,,"48,500"
E17 3,,"51,000"
E17 4,"2,142","57,000"
E17 5,"2,075","53,800"
E17 6,"1,954","55,300"
E17 7,"1,951","54,700"
E17 8,,"54,700"
E17 9,"1,883","56,800"
E18 1,"1,612","63,400"
E18 2,"1,838","68,400"
E1W 1,"2,861","93,000"
E1W 2,"3,314","82,300"
E1W 3,"2,225","75,000"
E2 0,"2,210","52,300"
E2 6,"2,219","55,000"
E2 7,,"53,700"
E2 8,"2,419","56,800"
E2 9,"2,449","52,200"
E3 2,"2,186","58,900"
E3 3,"2,108","50,400"
E3 4,"2,238","51,700"
E3 5,"2,132","58,700"
E4 6,,"54,600"
E4 7,"2,097","53,500"
E4 8,,"52,900"
E4 9,,"58,400"
E5 0,"2,379","54,900"
E5 8,"2,165","51,000"
E5 9,"2,059","47,400"
E6 1,,"45,200"
E6 2,,"48,500"
E6 3,,"48,700"
E6 5,,"51,700"
E6 6,,"48,900"
E7 0,,"50,800"
E7 8,,"47,200"
E7 9,"1,684","49,800"
E8 1,"2,175","56,700"
E8 2,"2,237","55,300"
E8 3,"2,360","64,600"
E8 4,"2,398","58,700"
E9 5,"2,264","49,200"
E9 6,"2,525","49,600"
E9 7,"2,064","57,600"
EC1A 7,,"101,800"
EC1M 5,,"64,100"
EC1M 6,,"68,200"
EC1N 7,,"54,200"
EC1N 8,,"54,100"
EC1V 1,"3,307","79,400"
EC1V 2,"3,620","58,600"
EC1V 3,,"58,500"
EC1V 4,,"63,600"
EC1V 7,,"62,900"
EC1V 8,,"58,800"
EC1V 9,,"57,600"
EC1Y 8,,"56,700"
EC2A 3,,"59,600"
EC2A 4,"3,108","58,800"
EC2Y 8,"2,848","101,800"
EC4A 1,,"101,800"
EN1 1,"1,768","55,100"
EN1 2,"1,783","57,800"
EN1 3,,"60,000"
EN1 4,,"47,900"
EN10 6,,"50,000"
EN10 7,,"58,400"
EN11 0,,"50,400"
EN11 8,"1,329","47,500"
EN11 9,,"53,900"
EN2 0,,"56,500"
EN2 6,,"60,200"
EN2 7,,"63,100"
EN2 8,"1,513","58,600"
EN3 4,,"45,400"
EN3 5,"1,879","45,500"
EN3 6,"1,707","47,800"
EN3 7,,"45,200"
EN4 0,"3,119","58,100"
EN4 8,"1,796","59,700"
EN4 9,,"61,000"
EN5 1,,"61,200"
EN5 2,"1,983","57,200"
EN5 3,,"59,400"
EN5 4,,"63,500"
EN5 5,"1,548","61,700"
EN6 1,"1,619","58,100"
EN6 2,,"56,300"
EN6 3,,"59,100"
EN6 4,,"56,600"
EN6 5,,"51,600"
EN7 5,,"52,000"
EN7 6,,"51,900"
EN8 0,,"49,200"
EN8 7,"1,508","48,000"
EN8 8,,"49,200"
EN8 9,,"48,800"
EN9 1,,"47,100"
EN9 2,,"51,300"
EN9 3,,"47,800"
EX1 1,"1,599","45,300"
EX1 2,"2,309","44,900"
EX1 3,"1,417","46,900"
EX10 0,,"50,000"
EX10 8,,"49,300"
EX10 9,,"44,000"
EX11 1,,"49,400"
EX12 2,,"39,300"
EX12 3,,"48,000"
EX13 5,,"40,800"
EX13 7,,"45,000"
EX14 1,,"40,600"
EX14 2,,"43,200"
EX14 3,,"50,100"
EX14 4,,"45,800"
EX14 9,,"46,600"
EX15 1,,"46,000"
EX15 2,,"49,700"
EX15 3,,"46,300"
