LSOA11CD,hotel_count,area_km2,hotel_density
E01000001,0.0,1.72693932024496e-11,0.0
E01000002,1.0,2.929915887392711e-11,34130672634.765812
E01000003,0.0,7.423192811350107e-12,0.0
E01000005,7.0,2.4704191114951634e-11,283352730207.9287
E01000006,0.0,1.8684355307733228e-11,0.0
E01000007,0.0,2.567461370264002e-11,0.0
E01000008,0.0,2.5064257673852108e-11,0.0
E01000009,0.0,1.6663058473793346e-11,0.0
E01000010,2.0,4.520092301284514e-11,44246884061.01005
E01000011,0.0,1.1701505082723924e-11,0.0
E01000012,1.0,1.8188217645436675e-11,54980648433.7345
E01000013,0.0,2.703553694720637e-11,0.0
E01000014,0.0,4.408311011070756e-11,0.0
E01000015,0.0,3.628521619359659e-11,0.0
E01000016,0.0,2.541951266535696e-11,0.0
E01000017,0.0,2.0839184042201595e-11,0.0
E01000018,0.0,2.2485444210671165e-11,0.0
E01000019,0.0,2.3568882926749516e-11,0.0
E01000020,0.0,2.4422945913372582e-11,0.0
E01000021,0.0,2.2210201874622677e-11,0.0
E01000022,0.0,1.6636725899232134e-11,0.0
E01000023,0.0,2.765697204487724e-11,0.0
E01000024,0.0,1.658101805415607e-11,0.0
E01000025,0.0,1.951551290925012e-11,0.0
E01000027,0.0,1.9224322490499031e-10,0.0
E01000028,0.0,1.9083184419787976e-11,0.0
E01000029,0.0,3.281432769403547e-11,0.0
E01000030,0.0,3.677890849147033e-11,0.0
E01000031,0.0,1.0940277334836654e-10,0.0
E01000032,0.0,4.91818753569869e-11,0.0
E01000033,0.0,1.8505673244176588e-11,0.0
E01000034,0.0,6.675020666226013e-11,0.0
E01000035,0.0,5.1113865168667995e-11,0.0
E01000036,1.0,5.570183061893004e-11,17952731335.55065
E01000037,0.0,3.07912940265277e-11,0.0
E01000038,0.0,2.7524224733906267e-11,0.0
E01000039,0.0,1.977172489655778e-10,0.0
E01000040,0.0,2.193525534440437e-11,0.0
E01000041,0.0,1.9650732153355027e-11,0.0
E01000042,0.0,3.0060049175779157e-11,0.0
E01000043,0.0,3.4374236348711916e-11,0.0
E01000044,0.0,2.260780705007675e-11,0.0
E01000045,0.0,3.881525117494099e-11,0.0
E01000046,0.0,2.0351169254815032e-11,0.0
E01000048,0.0,8.296594254907908e-12,0.0
E01000049,0.0,2.7670184986716833e-11,0.0
E01000050,0.0,1.7900871037342887e-11,0.0
E01000051,0.0,8.524809612302358e-12,0.0
E01000052,0.0,2.5984810244955126e-11,0.0
E01000053,0.0,2.3072683630755376e-11,0.0
E01000054,0.0,2.216067427122773e-11,0.0
E01000055,0.0,1.9076805903425537e-11,0.0
E01000056,1.0,3.2255024331668307e-11,31002921892.642628
E01000057,0.0,1.897683841204018e-11,0.0
E01000058,0.0,2.360487570856721e-11,0.0
E01000059,0.0,2.7124463523965995e-11,0.0
E01000060,0.0,7.134729087818265e-11,0.0
E01000061,0.0,7.850098670407039e-11,0.0
E01000062,0.0,2.928247487728609e-11,0.0
E01000063,0.0,2.3658993516535162e-11,0.0
E01000064,0.0,2.7129300560976105e-11,0.0
E01000065,0.0,2.997099669773856e-11,0.0
E01000066,0.0,3.185965937098756e-11,0.0
E01000067,0.0,2.4901949506486237e-11,0.0
E01000068,0.0,4.427855014764002e-11,0.0
E01000069,0.0,2.531556174208382e-11,0.0
E01000070,0.0,5.129479006896422e-11,0.0
E01000071,0.0,3.506649434131221e-11,0.0
E01000072,0.0,6.771487826503361e-11,0.0
E01000073,0.0,3.66664011463851e-11,0.0
E01000074,0.0,2.132746054090182e-11,0.0
E01000075,0.0,6.688741541666623e-11,0.0
E01000076,0.0,2.461802489010945e-11,0.0
E01000077,0.0,2.255374703875542e-11,0.0
E01000078,0.0,2.226219287130102e-11,0.0
E01000079,0.0,4.016329103329724e-11,0.0
E01000080,0.0,3.019224073335639e-11,0.0
E01000081,0.0,2.4151219861981004e-11,0.0
E01000082,0.0,2.1173217990560295e-11,0.0
E01000083,0.0,2.3235903707884136e-11,0.0
E01000084,0.0,1.9758456177623044e-11,0.0
E01000085,0.0,1.8732462426339614e-11,0.0
E01000086,0.0,1.8022353767273944e-11,0.0
E01000087,1.0,4.8603198833051155e-11,20574777463.412136
E01000088,0.0,2.906750432627671e-11,0.0
E01000089,0.0,1.9554994335354007e-11,0.0
E01000090,0.0,2.517283025822946e-10,0.0
E01000091,0.0,3.2095905806939224e-11,0.0
E01000092,0.0,3.4241151419850395e-10,0.0
E01000093,0.0,3.785687042870855e-11,0.0
E01000094,0.0,7.775210054879267e-11,0.0
E01000095,0.0,2.9760383159666087e-10,0.0
E01000096,0.0,7.755823723084847e-11,0.0
E01000097,0.0,2.3520356317345556e-11,0.0
E01000098,0.0,2.251135524576218e-11,0.0
E01000099,0.0,4.022910519999485e-11,0.0
E01000100,0.0,2.7301042468095572e-11,0.0
E01000101,0.0,2.087044296239838e-11,0.0
E01000102,0.0,3.2975668530784524e-11,0.0
E01000103,0.0,9.046672627121844e-11,0.0
E01000104,0.0,2.8010293997351084e-11,0.0
E01000105,0.0,2.8975290370669854e-11,0.0
E01000106,0.0,2.861794311052843e-11,0.0
E01000107,0.0,6.990237290382869e-11,0.0
E01000108,0.0,3.0910035871455804e-11,0.0
E01000109,0.0,4.872650033175005e-11,0.0
E01000110,0.0,2.4427602945707912e-11,0.0
E01000111,0.0,3.908057949756426e-11,0.0
E01000112,0.0,3.582230483682226e-11,0.0
E01000113,0.0,2.0055297475380943e-11,0.0
E01000114,0.0,3.321678344530743e-11,0.0
E01000115,0.0,3.63392637690573e-11,0.0
E01000116,0.0,3.185787182843592e-11,0.0
E01000117,0.0,4.2773025063030593e-11,0.0
E01000118,0.0,3.701845981924511e-11,0.0
E01000119,0.0,5.20057680666264e-11,0.0
E01000120,0.0,3.155068881055403e-11,0.0
E01000121,0.0,4.8903176700754035e-11,0.0
E01000122,0.0,3.05785941179762e-11,0.0
E01000123,0.0,6.810130928481117e-11,0.0
E01000124,0.0,3.3755433120378394e-11,0.0
E01000125,0.0,3.934520047950162e-11,0.0
E01000126,0.0,2.0484135559288054e-11,0.0
E01000127,0.0,2.5477159282485424e-11,0.0
E01000128,0.0,3.151116614529271e-11,0.0
E01000129,0.0,2.248733985846557e-11,0.0
E01000130,0.0,2.289049652210527e-11,0.0
E01000131,0.0,4.3366241533742396e-11,0.0
E01000132,0.0,1.9859479483217843e-11,0.0
E01000133,0.0,2.068500973966366e-11,0.0
E01000134,0.0,2.0805630845649033e-11,0.0
E01000135,0.0,4.3274746115886165e-11,0.0
E01000136,0.0,6.745394287697416e-11,0.0
E01000137,0.0,1.6023390020406024e-11,0.0
E01000138,1.0,3.3576134013112344e-11,29783059586.594284
E01000139,1.0,4.579234711392438e-11,21837710076.580097
E01000140,0.0,1.8706944320818194e-11,0.0
E01000141,2.0,4.7913853721338724e-11,41741580872.03259
E01000142,0.0,2.5900534932711385e-11,0.0
E01000143,0.0,2.2220749366192448e-11,0.0
E01000144,1.0,2.4914445972972583e-11,40137356499.31004
E01000145,1.0,2.721334701471431e-11,36746674323.42291
E01000146,1.0,2.7267442570112863e-11,36673773032.754974
E01000147,0.0,2.6398159620220063e-11,0.0
E01000148,0.0,2.980487120708406e-11,0.0
E01000150,1.0,6.0157995625717e-11,16622894257.010601
E01000151,0.0,1.8534441645249795e-11,0.0
E01000152,0.0,2.343093719196948e-11,0.0
E01000153,0.0,2.1529006576205824e-11,0.0
E01000154,0.0,1.7284195925643943e-11,0.0
E01000155,0.0,3.842641031756914e-11,0.0
E01000156,0.0,2.3170200936873294e-11,0.0
E01000157,0.0,1.6036016191461975e-11,0.0
E01000158,0.0,3.5057648204325327e-11,0.0
E01000159,0.0,6.445401234542991e-11,0.0
E01000160,0.0,3.923161078653094e-11,0.0
E01000161,0.0,3.1040722237735e-11,0.0
E01000162,0.0,2.3823131058853176e-11,0.0
E01000163,0.0,2.554840607993361e-11,0.0
E01000164,0.0,7.148401562310478e-11,0.0
E01000165,0.0,2.4510481715337465e-11,0.0
E01000166,0.0,4.868673118216648e-11,0.0
E01000167,0.0,7.790129462681605e-11,0.0
E01000168,0.0,4.058907568170491e-11,0.0
E01000169,0.0,3.0846113255063766e-11,0.0
E01000170,0.0,3.849243279224467e-11,0.0
E01000171,0.0,4.324088867949352e-11,0.0
E01000172,0.0,7.085675858778072e-11,0.0
E01000173,0.0,4.767012142439726e-11,0.0
E01000174,0.0,2.4369059707032937e-11,0.0
E01000175,0.0,6.530424917713608e-11,0.0
E01000176,0.0,2.8794544139364696e-11,0.0
E01000177,0.0,2.1800400584614845e-11,0.0
E01000178,0.0,5.4469330842573075e-11,0.0
E01000179,0.0,1.8644645385199354e-11,0.0
E01000180,0.0,2.2042178762617705e-11,0.0
E01000181,0.0,1.885790967423822e-11,0.0
E01000182,0.0,2.8118794689472296e-11,0.0
E01000183,0.0,2.9611585776287407e-11,0.0
E01000184,0.0,8.860099503073535e-11,0.0
E01000185,0.0,1.543802561411632e-11,0.0
E01000186,0.0,3.2434347867208645e-11,0.0
E01000187,0.0,2.7674009775750943e-11,0.0
E01000188,0.0,4.157132077001624e-10,0.0
E01000189,0.0,2.1226488838998467e-11,0.0
E01000190,0.0,3.1772301529785466e-11,0.0
E01000191,0.0,3.348694985401467e-11,0.0
E01000192,0.0,3.685364948886174e-11,0.0
