,GSS_CODE,WARD,Airbnb_price,Airbnb_availability_365,Reviews_per_month,Review_scores_value,Airbnb_count,Houseprice_median,Housesales_median,Population,Population_per_hectare,Population_per_square_kilometre
0,E05000026,Abbey,96.0,270.0,0.9,4.9,63,231000.0,96.0,18757.0,146.6536357,14665.36357
1,E05000027,Alibon,96.0,214.0,0.24,4.635,18,295000.0,97.0,11281.0,82.88758266,8288.758266
2,E05000028,Becontree,50.0,269.5,0.45999999999999996,4.715,16,300000.0,132.0,14468.0,112.6791277,11267.91277
3,E05000029,Chadwell Heath,75.0,178.0,0.64,4.73,11,310000.0,115.0,11100.0,32.84023669,3284.023669
4,E05000030,Eastbrook,46.0,125.5,2.09,4.605,8,331500.0,120.0,10789.0,31.23624783,3123.624783
5,E05000031,Eastbury,90.0,137.5,0.685,4.67,16,313500.0,102.0,12130.0,83.94463668,8394.463668
6,E05000032,Gascoigne,106.0,304.0,0.53,4.75,55,269000.0,66.0,18984.0,167.4074074,16740.74074
7,E05000033,Goresbrook,44.5,327.5,0.87,4.635,12,297000.0,97.0,12361.0,96.5703125,9657.03125
8,E05000034,Heath,55.0,248.0,0.7,4.84,25,295000.0,97.0,11663.0,58.16957606,5816.957606
9,E05000035,Longbridge,66.0,88.0,0.5,4.5,13,430000.0,97.0,12062.0,73.54878049,7354.878049
10,E05000036,Mayesbrook,53.5,158.0,2.4699999999999998,4.745,14,295500.0,86.0,11168.0,60.33495408,6033.495408
11,E05000037,Parsloes,46.0,134.0,1.9749999999999999,4.75,6,300000.0,91.0,10116.0,81.38374899,8138.374899
12,E05000038,River,40.0,119.5,0.345,4.83,16,291000.0,113.0,15432.0,43.44594595,4344.594595
13,E05000039,Thames,62.5,222.5,0.45,4.66,48,294995.0,215.0,23903.0,30.31836631,3031.836631
14,E05000040,Valence,87.0,355.0,0.46499999999999997,4.33,10,308000.0,102.0,11571.0,89.48955916,8948.955916
15,E05000041,Village,59.0,136.0,0.6,4.77,21,307000.0,95.0,10880.0,50.8411215,5084.11215
16,E05000042,Whalebone,72.5,120.0,0.19,4.76,14,345000.0,159.0,12672.0,81.54440154,8154.440154
17,E05000043,Brunswick Park,52.0,164.0,0.45,4.78,31,570000.0,160.0,16707.0,52.63705104,5263.705104
18,E05000044,Burnt Oak,114.0,165.0,1.25,4.75,29,375000.0,111.0,20007.0,96.93313953,9693.313953
19,E05000045,Childs Hill,107.0,163.0,1.0,4.7,249,640000.0,149.0,22824.0,73.88798964,7388.798964
20,E05000046,Colindale,125.0,172.5,0.61,4.75,138,415000.0,372.0,35313.0,133.660106,13366.0106
21,E05000047,Coppetts,70.0,167.0,0.69,4.85,57,445000.0,168.0,17455.0,64.17279412,6417.279412
22,E05000048,East Barnet,51.0,235.5,0.325,4.965,16,505725.0,158.0,18193.0,48.48880597,4848.880597
23,E05000049,East Finchley,81.0,267.0,0.22,4.85,65,576500.0,123.0,17033.0,67.48415214,6748.415214
24,E05000050,Edgware,82.0,179.0,0.38,4.83,39,600000.0,181.0,22064.0,39.68345324,3968.345324
25,E05000051,Finchley Church End,123.0,206.0,0.76,4.77,47,625000.0,215.0,16997.0,62.74270949,6274.270949
