,GSS_CODE,WARD,price,availability_365,reviews_per_month,review_scores_value,count,Houseprice_median,Housesales_median
0,E05000026,Abbey,96.0,270.0,0.9,4.9,63,"231,000",96
1,E05000027,Alibon,96.0,214.0,0.24,4.635,18,"295,000",97
2,E05000028,Becontree,50.0,269.5,0.45999999999999996,4.715,16,"300,000",132
3,E05000029,Chadwell Heath,75.0,178.0,0.64,4.73,11,"310,000",115
4,E05000030,Eastbrook,46.0,125.5,2.09,4.605,8,"331,500",120
5,E05000031,Eastbury,90.0,137.5,0.685,4.67,16,"313,500",102
6,E05000032,Gascoigne,106.0,304.0,0.53,4.75,55,"269,000",66
7,E05000033,Goresbrook,44.5,327.5,0.87,4.635,12,"297,000",97
8,E05000034,Heath,55.0,248.0,0.7,4.84,25,"295,000",97
9,E05000035,Longbridge,66.0,88.0,0.5,4.5,13,"430,000",97
10,E05000036,Mayesbrook,53.5,158.0,2.4699999999999998,4.745,14,"295,500",86
11,E05000037,Parsloes,46.0,134.0,1.9749999999999999,4.75,6,"300,000",91
12,E05000038,River,40.0,119.5,0.345,4.83,16,"291,000",113
13,E05000039,Thames,62.5,222.5,0.45,4.66,48,"294,995",215
14,E05000040,Valence,87.0,355.0,0.46499999999999997,4.33,10,"308,000",102
15,E05000041,Village,59.0,136.0,0.6,4.77,21,"307,000",95
16,E05000042,Whalebone,72.5,120.0,0.19,4.76,14,"345,000",159
17,E05000043,Brunswick Park,52.0,164.0,0.45,4.78,31,"570,000",160
18,E05000044,Burnt Oak,114.0,165.0,1.25,4.75,29,"375,000",111
19,E05000045,Childs Hill,107.0,163.0,1.0,4.7,249,"640,000",149
20,E05000046,Colindale,125.0,172.5,0.61,4.75,138,"415,000",372
21,E05000047,Coppetts,70.0,167.0,0.69,4.85,57,"445,000",168
22,E05000048,East Barnet,51.0,235.5,0.325,4.965,16,"505,725",158
23,E05000049,East Finchley,81.0,267.0,0.22,4.85,65,"576,500",123
24,E05000050,Edgware,82.0,179.0,0.38,4.83,39,"600,000",181
25,E05000051,Finchley Church End,123.0,206.0,0.76,4.77,47,"625,000",215
26,E05000052,Garden Suburb,118.5,179.5,0.6799999999999999,4.79,46,"970,000",189
27,E05000053,Golders Green,116.5,172.5,0.7,4.75,106,"646,000",97
28,E05000054,Hale,86.5,248.0,0.5700000000000001,4.695,50,"565,000",127
29,E05000055,Hendon,100.0,177.5,0.885,4.65,72,"497,500",156
30,E05000056,High Barnet,114.0,258.0,0.6,4.915,22,"500,000",210
31,E05000057,Mill Hill,111.5,263.5,0.38,4.79,60,"599,995",332
32,E05000058,Oakleigh,84.0,237.5,0.7450000000000001,4.73,30,"642,500",176
33,E05000059,Totteridge,114.0,185.5,0.875,4.8,32,"550,000",274
34,E05000060,Underhill,90.0,231.0,0.605,4.8100000000000005,26,"473,500",150
35,E05000061,West Finchley,93.0,204.5,0.865,4.6899999999999995,54,"527,500",142
36,E05000062,West Hendon,97.0,216.0,0.86,4.69,119,"493,500",121
37,E05000063,Woodhouse,101.0,200.0,0.5,4.83,43,"485,000",158
38,E05000064,Barnehurst,80.5,255.0,0.31,4.695,14,"330,000",155
39,E05000065,Belvedere,59.0,256.0,0.58,4.64,25,"281,500",174
40,E05000066,Blackfen and Lamorbey,125.0,246.0,1.17,4.89,3,"390,000",121
41,E05000067,Blendon and Penhill,49.0,222.0,0.52,4.84,7,"385,000",146
42,E05000068,Brampton,33.0,249.0,0.81,4.88,13,"425,500",133
43,E05000069,Christchurch,52.5,265.5,0.47,4.67,8,"379,136",226
44,E05000070,Colyers,53.0,331.0,0.43,5.0,11,"300,000",151
45,E05000071,Crayford,100.0,90.0,0.39,4.54,11,"295,000",192
46,E05000072,Cray Meadows,102.5,297.0,0.75,3.57,4,"340,000",144
47,E05000073,Danson Park,50.0,221.0,0.94,4.84,11,"375,000",165
48,E05000074,East Wickham,44.0,245.0,0.885,4.95,22,"380,000",141
49,E05000075,Erith,45.5,286.5,0.615,4.705,28,"257,995",225
50,E05000076,Falconwood and Welling,50.0,237.0,0.51,4.67,11,"375,000",149
51,E05000077,Lesnes Abbey,100.0,296.5,0.33,4.765,30,"375,000",98
52,E05000078,Longlands,120.0,122.0,0.21,4.88,5,"351,000",182
53,E05000079,North End,69.0,280.5,0.6,4.73,32,"285,000",112
54,E05000080,Northumberland Heath,86.0,304.5,0.725,4.715,8,"335,000",99
55,E05000081,St. Mary's,70.0,179.5,0.395,4.9,12,"427,000",145
56,E05000082,St. Michael's,60.0,269.0,0.96,4.97,7,"391,000",143
57,E05000083,Sidcup,105.0,341.0,0.62,4.81,19,"370,000",193
58,E05000084,Thamesmead East,60.0,270.0,0.61,4.73,51,"260,000",67
59,E05000085,Alperton,79.5,77.5,0.61,4.905,24,"347,500",68
60,E05000086,Barnhill,109.5,185.5,1.3900000000000001,4.675,86,"471,250",78
61,E05000087,Brondesbury Park,115.0,196.0,0.88,4.66,143,"630,000",94
62,E05000088,Dollis Hill,98.0,336.0,0.2,4.75,73,"422,500",52
63,E05000089,Dudden Hill,75.5,229.5,0.8200000000000001,4.779999999999999,76,"700,000",68
64,E05000090,Fryent,75.0,287.0,1.125,4.805,32,"450,000",77
65,E05000091,Harlesden,89.0,160.0,1.0,4.67,63,"421,475",56
66,E05000092,Kensal Green,98.0,131.5,0.94,4.72,130,"647,500",96
67,E05000093,Kenton,62.0,88.0,1.75,4.82,11,"610,000",53
68,E05000094,Kilburn,120.0,151.0,0.71,4.71,177,"599,950",191
69,E05000095,Mapesbury,70.0,147.5,0.81,4.625,122,"540,000",85
70,E05000096,Northwick Park,65.5,172.0,0.6399999999999999,4.5600000000000005,32,"619,000",50
71,E05000097,Preston,81.0,162.0,2.12,4.67,33,"462,500",74
72,E05000098,Queens Park,139.0,152.5,0.68,4.78,178,"972,250",128
73,E05000099,Queensbury,100.0,177.0,0.59,4.75,29,"485,000",67
74,E05000100,Stonebridge,87.0,170.0,0.72,4.75,41,"437,500",92
75,E05000101,Sudbury,138.0,159.0,2.07,4.75,33,"385,500",124
76,E05000102,Tokyngton,137.0,156.0,1.71,4.73,173,"427,200",325
77,E05000103,Welsh Harp,90.0,199.0,0.51,4.69,33,"411,000",70
78,E05000104,Wembley Central,98.0,169.0,0.95,4.78,57,"385,000",43
79,E05000105,Willesden Green,64.0,159.5,0.76,4.715,110,"457,600",88
80,E05000106,Bickley,142.5,215.5,0.22,4.78,16,"633,750",198
81,E05000107,Biggin Hill,43.5,359.0,0.47,4.885,6,"375,000",169
82,E05000108,Bromley Common and Keston,120.0,231.0,0.76,4.89,15,"442,000",251
83,E05000109,Bromley Town,99.0,234.5,0.83,4.805,46,"429,975",306
84,E05000110,Chelsfield and Pratts Bottom,69.0,309.0,0.69,4.83,21,"480,000",211
85,E05000111,Chislehurst,117.0,234.0,0.635,4.79,18,"545,000",239
86,E05000112,Clock House,98.0,186.0,0.495,4.945,32,"435,000",289
87,E05000113,Copers Cope,110.0,171.0,0.71,4.81,33,"390,000",346
88,E05000114,Cray Valley East,83.0,249.0,0.54,4.77,17,"325,000",245
89,E05000115,Cray Valley West,63.0,269.0,0.47,4.77,15,"335,000",156
90,E05000116,Crystal Palace,89.0,137.0,0.59,4.8,71,"357,000",181
91,E05000117,Darwin,232.0,266.0,0.88,4.77,7,"523,500",63
92,E05000118,Farnborough and Crofton,53.0,90.0,1.21,4.92,5,"500,000",228
93,E05000119,Hayes and Coney Hall,64.5,145.5,1.025,4.890000000000001,12,"520,000",220
94,E05000120,Kelsey and Eden Park,100.0,247.0,0.46,4.83,13,"510,000",201
95,E05000121,Mottingham and Chislehurst North,95.0,157.0,0.46,4.88,17,"336,500",139
96,E05000122,Orpington,84.5,77.5,0.915,5.0,26,"394,500",244
97,E05000123,Penge and Cator,92.0,172.0,1.0,4.72,55,"430,000",237
98,E05000124,Petts Wood and Knoll,70.5,127.0,0.44999999999999996,4.845000000000001,10,"600,000",173
99,E05000125,Plaistow and Sundridge,55.5,268.0,0.71,4.720000000000001,38,"395,000",249
100,E05000126,Shortlands,92.0,267.5,0.24,4.890000000000001,12,"637,500",138
101,E05000127,West Wickham,50.0,177.0,0.71,4.8,9,"587,500",180
