LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000001,190.92857142857144,150.01413645616924,0.3294399520814615,13474.5762711864,0.007,0.0,0.0,69.8233
E01000002,183.25,66.3155558825981,2.409638554216868,7346.76007005254,0.034,4.4210370588398735,0.0,83.782
E01000003,132.77777777777777,261.7665527258045,-17.050691244239633,32148.9001692047,0.086,0.0,0.0,41.7417
E01000005,293.24657534246575,566.2194709508823,,11503.164556962,0.211,36.69941015422385,0.0,85.8893
E01000006,53.0,34.675062506408324,-33.97260273972603,14440.6548431105,0.117,0.0,0.0,22.4558
E01000007,140.1818181818182,146.36499326111738,31.91489361702128,13520.0,0.207,0.0,0.0,33.3023
E01000008,408.0,20.679839505713996,,8170.1691440287,0.265,0.0,0.0,7.39059
E01000009,94.1818181818182,116.6484328796462,17.5,15316.6536356529,0.187,0.0,0.0,38.3641
E01000010,111.08333333333331,140.46218400698802,-15.65217391304348,10366.3731894348,0.169,5.733150367632164,2.865876459337819,32.286
E01000011,54.5,99.67033511272496,,19116.6848418757,0.167,0.0,0.0,31.9167
E01000012,58.66666666666666,92.62330259710932,14.117647058823527,17064.7482014388,0.239,7.124869430546871,0.0,16.2314
E01000013,58.66666666666666,19.1730785015645,24.761904761904763,8878.72954764196,0.213,0.0,0.0,13.1449
E01000014,147.0,11.758590670524658,17.741935483870968,4982.41500586167,0.201,0.0,0.0,7.46001
E01000015,126.9090909090909,82.14406950861536,-12.457912457912458,8535.28153955809,0.216,0.0,0.0,8.29508
E01000016,120.0,15.295982804889036,29.623567921440262,8747.48490945674,0.199,0.0,0.0,5.11561
E01000017,169.5,24.877196727708004,22.54901960784314,9494.9494949495,0.25,0.0,0.0,8.20281
E01000018,54.5,23.054555977466062,27.33333333333333,9919.44764096663,0.212,0.0,0.0,7.37822
E01000019,79.6,33.00006695336817,,8315.21739130435,0.194,0.0,0.0,4.58686
E01000020,13.0,5.307449125738759,5.113636363636364,10053.4188034188,0.216,0.0,0.0,6.75302
E01000021,60.6,35.01580319745116,11.805555555555555,10354.400472534,0.23,0.0,0.0,4.86539
E01000022,0.0,0.0,16.96869851729819,11247.0771628995,0.195,0.0,0.0,6.39859
E01000023,149.54545454545453,74.98028168843882,56.99999999999999,18624.5173745174,0.228,0.0,0.0,7.01491
E01000024,172.0,7.816716275432344,29.558823529411764,11936.2363919129,0.155,0.0,0.0,7.43551
E01000025,150.0,13.282142653562031,12.808641975308642,10912.6466753585,0.219,0.0,0.0,5.75121
E01000027,117.0,1.3495849482880868,26.86567164179105,1240.42048151916,0.216,0.0,0.6746281304851952,3.85844
E01000028,140.0,13.594137625414564,-0.967741935483871,11808.066759388,0.26,0.0,0.0,3.01489
E01000029,139.42857142857142,27.66647677284799,9.740259740259742,7022.18762164266,0.113,0.0,0.0,2.5171
E01000030,62.5,7.053165000670548,21.28,8365.3510303877,0.264,0.0,0.0,4.82101
E01000031,158.83333333333334,10.669154319110572,17.5,2106.69828097214,0.126,0.0,0.0,4.07693
E01000032,77.66666666666667,15.820020752087396,44.73684210526316,5219.70705725699,0.146,0.0,0.0,6.6856
E01000033,101.5,14.0087324182455,8.333333333333332,10894.7006194081,0.257,0.0,0.0,3.91504
E01000034,42.25,9.709786777939266,34.36734693877551,3181.46417445483,0.216,0.0,0.0,3.51145
E01000035,105.4,30.42764152292332,16.37239165329053,4671.36741374969,0.15,0.0,0.0,6.7778
E01000036,60.0,6.979735868724906,23.134328358208958,3518.03200382135,0.112,2.326578622908302,0.0,7.34586
E01000037,215.0,8.42050663889854,13.725490196078432,8016.28106255356,0.096,0.0,0.0,2.32273
E01000038,72.0,4.710114011036374,25.2054794520548,6644.85981308411,0.127,0.0,0.0,8.36135
E01000039,43.0,0.6555457298909514,22.595419847328245,1122.20916568743,0.127,0.0,0.0,1.99736
E01000040,40.0,5.90687772814158,,10556.5319273579,0.218,0.0,0.0,9.00812
E01000041,57.0,13.187457794183734,21.774193548387096,11861.0747051114,0.172,0.0,0.0,5.72093
E01000042,95.6,21.551690830695343,-14.653784219001611,8750.0,0.263,0.0,0.0,8.48745
E01000043,105.5,11.307436187121624,9.329446064139942,5750.75075075075,0.147,0.0,0.0,7.26782
E01000044,94.2,34.386750387803595,21.21212121212121,12051.5826494725,0.133,0.0,0.0,8.7118
E01000045,75.0,23.36551382475159,24.87644151565074,6047.60308414348,0.188,0.0,0.0,7.08704
E01000046,125.0,6.366644379974536,15.66265060240964,12443.729903537,0.17,0.0,0.0,6.09177
E01000048,96.0,31.23121599092364,,13570.3245749614,0.341,0.0,0.0,8.13742
E01000049,153.2,28.092433919180092,,8543.82657869934,0.29,0.0,0.0,7.73561
E01000050,95.2,50.66486056243501,-8.557625948930296,14335.5119825708,0.176,0.0,0.0,23.446
E01000051,148.68421052631578,334.3664470913166,,15307.3463268366,0.234,0.0,0.0,13.4392
E01000052,87.66666666666667,29.915346223637982,23.754152823920265,11547.3209814722,0.188,0.0,0.0,7.91239
E01000053,120.0,11.230611847337276,,8993.91929242676,0.229,0.0,0.0,5.84284
E01000054,60.0,23.38738170332651,38.240574506283664,11419.3925233645,0.18,0.0,0.0,6.31438
E01000055,0.0,0.0,27.3015873015873,11705.4794520548,0.211,0.0,0.0,7.7862
E01000056,43.2,20.08426162766878,5.833333333333333,6818.55500821018,0.197,4.0168523255337565,0.0,1.62771
E01000057,0.0,0.0,29.471890971039183,10528.0974949221,0.196,0.0,0.0,9.98087
E01000058,41.75,21.957831314557843,23.47826086956522,11125.1372118551,0.199,0.0,0.0,7.25869
E01000059,71.5,9.553718769778747,33.223684210526315,7950.07201152184,0.176,0.0,0.0,5.43468
E01000060,101.11111111111111,16.351703891997627,22.04424103737605,3584.28805237316,0.202,0.0,0.0,4.72838
E01000061,66.375,14.863056400288272,,3066.33906633907,0.303,0.0,0.0,7.36381
E01000062,107.35714285714286,66.39668042104722,38.30508474576271,11003.163126977,0.143,0.0,0.0,4.4875
E01000063,73.0,10.957610235992144,25.396825396825395,10126.9315673289,0.181,0.0,0.0,7.42822
E01000064,155.5,19.111032905435717,29.64426877470356,10608.2375478927,0.208,0.0,0.0,4.11487
E01000065,118.66666666666669,17.298496281336018,15.483870967741936,7624.14383561644,0.228,0.0,0.0,5.82993
E01000066,114.6,32.54133163510295,26.631853785900784,9244.58962841976,0.147,0.0,0.0,3.48363
E01000067,125.0,15.612830741012932,10.526315789473683,11968.8311688312,0.132,0.0,0.0,5.81071
E01000068,62.0,14.633044298769054,23.863636363636363,4621.72505151604,0.123,0.0,0.0,16.9529
E01000069,433.0,10.237699146820924,18.712273641851105,9581.04738154613,0.087,0.0,0.0,8.91029
E01000070,167.0,7.579240759914877,38.88888888888889,5681.47013782542,0.11,0.0,0.0,9.08794
E01000071,95.57142857142856,33.256764916338376,17.732558139534884,9830.007390983,0.13,0.0,0.0,8.50495
E01000072,57.5,3.827310796215269,17.966101694915253,4136.87043444829,0.241,0.0,0.0,3.4708
E01000073,68.33333333333333,24.741224628531352,17.46031746031746,6120.87139845397,0.209,0.0,0.0,3.68102
E01000074,40.0,36.45837161447203,25.666666666666664,10036.5408038977,0.234,0.0,0.0,5.22423
E01000075,94.5,7.749537580924353,36.91275167785235,3678.00541167375,0.196,0.0,0.0,9.06998
E01000076,100.66666666666669,31.58209719374557,29.15254237288136,11331.9349764027,0.208,0.0,0.0,5.92267
E01000077,0.0,0.0,26.551724137931032,9125.43153049482,0.251,0.0,0.0,7.48654
E01000078,75.0,11.644134317388916,20.0,10853.2423208191,0.228,0.0,0.0,6.90947
E01000079,43.8,22.587282882983853,25.838926174496645,5746.12403100775,0.227,0.0,0.0,5.87476
E01000080,47.5,8.585052654072282,29.03225806451613,7012.53782965845,0.19,0.0,0.0,5.88791
E01000081,0.0,0.0,18.73990306946688,10134.5532831001,0.162,0.0,0.0,4.9585
E01000082,0.0,6.121799922557272,33.68421052631579,12993.1549471064,0.158,0.0,0.0,4.94285
E01000083,0.0,11.156480300184333,7.578124999999999,10872.7070594775,0.196,0.0,0.0,7.38619
E01000084,29.0,32.79088294428541,20.96,9426.66666666667,0.229,0.0,0.0,13.9159
E01000085,119.0,20.7512647133032,34.385964912280706,12938.7474191328,0.189,0.0,0.0,13.5581
E01000086,58.25,28.75787030629187,23.49914236706689,10499.6431120628,0.218,0.0,0.0,11.3246
E01000087,116.66666666666669,10.66205532429666,,4394.63087248322,0.226,2.6655138310741653,0.0,7.1013
E01000088,118.83333333333331,31.20105410059445,28.875110717449072,9403.71024734982,0.147,0.0,0.0,4.09005
E01000089,45.0,33.12532399050809,27.368421052631582,12914.089347079,0.156,0.0,0.0,3.14651
E01000090,243.75,2.0581569678391,34.715025906735754,895.094880057286,0.169,0.0,0.0,3.1872
E01000091,125.83333333333331,24.216760997045387,,8448.41592201462,0.256,0.0,0.0,4.69844
E01000092,75.825,18.157997631399304,14.241330765869996,2289.39806412583,0.215,0.0,0.0,2.50159
E01000093,240.0,6.844100953170304,-15.789473684210526,6089.17631041525,0.26,0.0,0.0,4.76951
E01000094,236.2,26.65608863216084,-2.735562310030395,3858.6595885866,0.167,0.0,0.0,3.08911
E01000095,120.52380952380952,10.011488102060744,11.76470588235294,808.820325096963,0.196,0.0,0.0,3.88439
E01000096,91.8,10.022549572981344,,3084.32934926959,0.259,0.0,0.0,3.51993
E01000097,104.0,27.560104658622517,22.31139646869984,10044.6428571429,0.223,0.0,0.0,14.5706
E01000098,68.0,23.03490425812708,0.473186119873817,10290.763968073,0.239,0.0,0.0,11.0563
E01000099,138.33333333333334,16.113032597738453,11.067193675889328,8022.58064516129,0.174,0.0,0.0,9.59104
E01000100,58.0,4.748215614975054,24.45193929173693,8411.3475177305,0.16,0.0,0.0,4.91511
E01000101,66.66666666666667,18.633720397877376,21.951219512195124,9572.91031116534,0.254,0.0,0.0,8.70126
E01000102,50.0,11.792880910402069,17.258064516129032,6087.8164556962,0.275,0.0,0.0,5.78336
E01000103,79.0,10.025230623261375,28.8135593220339,2454.0139740482,0.18,0.0,0.0,3.04832
E01000104,171.75,18.504025107779466,-9.782608695652174,9150.77202543143,0.222,0.0,0.0,8.24809
E01000105,144.0,40.24858129634505,8.26086956521739,10547.7591670439,0.246,0.0,0.0,8.9166
E01000106,100.83333333333331,54.33508202549192,23.5,9954.42114858705,0.275,0.0,0.0,4.76699
E01000107,103.8,11.122773448850776,37.70992366412214,3315.29850746269,0.151,0.0,0.0,2.67607
E01000108,0.0,0.0,20.3125,7885.17141676993,0.171,0.0,0.0,9.5896
E01000109,81.25,10.64272974430848,40.468227424749166,7631.22835065281,0.12,0.0,0.0,4.30923
E01000110,76.6,31.8502335449494,30.136986301369863,7634.96143958869,0.112,0.0,0.0,5.20468
E01000111,189.0,9.95318476009192,24.40944881889764,6938.63789615644,0.174,0.0,0.0,5.31493
E01000112,137.16666666666666,28.956174549378936,16.363636363636363,7682.88288288288,0.129,0.0,0.0,9.71421
E01000113,146.5,19.39573746228032,18.859649122807017,11916.8291098116,0.152,0.0,0.0,14.5377
E01000114,128.33333333333334,23.41819138907556,14.388489208633093,9730.67915690867,0.119,0.0,0.0,5.97464
E01000115,123.5,14.294813482568792,23.07692307692308,4813.86861313869,0.055,0.0,0.0,7.01025
E01000116,103.4,24.45722198676868,4.065040650406504,7022.83849918434,0.074,0.0,0.0,5.3088
E01000117,85.0,3.0359736200088285,9.090909090909092,5407.60869565217,0.071,0.0,0.0,5.74797
