LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015,Cluster
E01000001,0.2312739666303227,0.034271194228925016,0.3294399520814615,13474.5762711864,0.007,-0.1501929903248339,-0.09186933123590706,69.8233,3
E01000002,0.19515140548586662,-0.30432496841045154,2.409638554216868,7346.76007005254,0.034,0.21473926725293527,-0.09186933123590706,83.782,3
E01000003,-0.04228676257425534,0.48635698893742974,-17.050691244239633,32148.9001692047,0.086,-0.1501929903248339,-0.09186933123590706,41.7417,3
E01000005,0.71261198463792,1.7179978257226844,14.496376811594203,11503.164556962,0.211,2.879141172928669,-0.09186933123590706,85.8893,0
E01000006,-0.41758803867148714,-0.4323241479398752,-33.97260273972603,14440.6548431105,0.117,-0.1501929903248339,-0.09186933123590706,22.4558,3
E01000007,-0.007455686937477511,0.019508866429589475,31.91489361702128,13520.0,0.207,-0.1501929903248339,-0.09186933123590706,33.3023,3
E01000008,1.252450369588479,-0.48894074491014394,14.496376811594203,8170.1691440287,0.265,-0.1501929903248339,-0.09186933123590706,7.39059,3
E01000009,-0.22385502997961387,-0.10070719031898391,17.5,15316.6536356529,0.187,-0.1501929903248339,-0.09186933123590706,38.3641,3
E01000010,-0.1443446653012533,-0.004370493871910106,-15.65217391304348,10366.3731894348,0.169,0.3230469936082212,1.1224314853936006,32.286,3
E01000011,-0.4105315383548957,-0.16939077746467712,14.496376811594203,19116.6848418757,0.167,-0.1501929903248339,-0.09186933123590706,31.9167,3
E01000012,-0.3909301485865863,-0.1978990048614964,14.117647058823527,17064.7482014388,0.239,0.4379257364877833,-0.09186933123590706,16.2314,3
E01000013,-0.3909301485865863,-0.49503623052678736,24.761904761904763,8878.72954764196,0.213,-0.1501929903248339,-0.09186933123590706,13.1449,2
E01000014,0.02461931450157431,-0.5250309701068654,17.741935483870968,4982.41500586167,0.201,-0.1501929903248339,-0.09186933123590706,7.46001,2
E01000015,-0.06989502307216514,-0.24029193538495658,-12.457912457912458,8535.28153955809,0.216,-0.1501929903248339,-0.09186933123590706,8.29508,2
E01000016,-0.102397691197071,-0.5107207226183351,29.623567921440262,8747.48490945674,0.199,-0.1501929903248339,-0.09186933123590706,5.11561,2
E01000017,0.1304668192504454,-0.47196065947912996,22.54901960784314,9494.9494949495,0.25,-0.1501929903248339,-0.09186933123590706,8.20281,3
E01000018,-0.4105315383548957,-0.47933401228479205,27.33333333333333,9919.44764096663,0.212,-0.1501929903248339,-0.09186933123590706,7.37822,2
E01000019,-0.2924527663905996,-0.4391002134694322,14.496376811594203,8315.21739130435,0.194,-0.1501929903248339,-0.09186933123590706,4.58686,2
E01000020,-0.6057613804472579,-0.5511285664667932,5.113636363636364,10053.4188034188,0.216,-0.1501929903248339,-0.09186933123590706,6.75302,2
E01000021,-0.3818351037340907,-0.43094570771243573,11.805555555555555,10354.400472534,0.23,-0.1501929903248339,-0.09186933123590706,4.86539,2
E01000022,-0.6669177165243834,-0.5725994432136124,16.96869851729819,11247.0771628995,0.195,-0.1501929903248339,-0.09186933123590706,6.39859,2
E01000023,0.03659398170548694,-0.2692724873758276,56.99999999999999,18624.5173745174,0.228,-0.1501929903248339,-0.09186933123590706,7.01491,3
E01000024,0.14222765311143107,-0.5409775194346818,29.558823529411764,11936.2363919129,0.155,-0.1501929903248339,-0.09186933123590706,7.43551,2
E01000025,0.03873231513475712,-0.5188675578780927,12.808641975308642,10912.6466753585,0.219,-0.1501929903248339,-0.09186933123590706,5.75121,2
E01000027,-0.11651069183025381,-0.5671398012278737,26.86567164179105,1240.42048151916,0.216,-0.1501929903248339,0.19397742503309587,3.85844,2
E01000028,-0.008311020309185584,-0.5176054062441209,-0.967741935483871,11808.066759388,0.26,-0.1501929903248339,-0.09186933123590706,3.01489,3
E01000029,-0.010999210905982366,-0.4606768418404208,9.740259740259742,7022.18762164266,0.113,-0.1501929903248339,-0.09186933123590706,2.5171,1
